,model_type,direction,step,n_features,ap,roc_auc,precision,recall,f1,features
0,logreg,forward,1,1,0.09720216744449514,0.6736744678200393,0.09281172019640989,0.4879390605162928,0.15595833896929528,['recent_sessions']
1,logreg,forward,2,2,0.1108497399138841,0.6912645800931846,0.09264684341584883,0.5353364367329666,0.157957170506337,"['recent_sessions', 'history_Roll Advert']"
2,logreg,forward,3,3,0.11725015366111065,0.7007884734701664,0.09503916449086162,0.5391451544646636,0.16159309994926432,"['recent_sessions', 'history_Roll Advert', 'history_Downgrade']"
3,logreg,forward,4,4,0.1218788499505557,0.7052470704341618,0.08961354160184205,0.6093948370715192,0.15625,"['recent_sessions', 'history_Roll Advert', 'history_Downgrade', 'days_since_last_action']"
4,logreg,forward,5,5,0.1240472834671252,0.707450736820648,0.0909320376096422,0.6098180279305967,0.1582646897309171,"['recent_sessions', 'history_Roll Advert', 'history_Downgrade', 'days_since_last_action', 'history_Thumbs Up']"
5,logreg,forward,6,6,0.12681468728405101,0.7112888587859485,0.09334798629517099,0.6110876005078291,0.16195603409600717,"['recent_sessions', 'history_Roll Advert', 'history_Downgrade', 'days_since_last_action', 'history_Thumbs Up', 'history_Thumbs Down']"
6,logreg,forward,7,7,0.1282324491632193,0.7173208984222933,0.09184993531694696,0.6309775708844689,0.1603570660357066,"['recent_sessions', 'history_Roll Advert', 'history_Downgrade', 'days_since_last_action', 'history_Thumbs Up', 'history_Thumbs Down', 'is_paid']"
7,logreg,forward,8,8,0.1309557688095385,0.7206823345503565,0.09239766081871345,0.6352094794752433,0.16132846087704214,"['recent_sessions', 'history_Roll Advert', 'history_Downgrade', 'days_since_last_action', 'history_Thumbs Up', 'history_Thumbs Down', 'is_paid', 'recent_Roll Advert']"
8,logreg,forward,9,9,0.13230480912037873,0.7211564207301427,0.09303329223181257,0.6385950063478629,0.16240650056503256,"['recent_sessions', 'history_Roll Advert', 'history_Downgrade', 'days_since_last_action', 'history_Thumbs Up', 'history_Thumbs Down', 'is_paid', 'recent_Roll Advert', 'history_Upgrade']"
9,logreg,forward,10,10,0.13316122618448142,0.7216901585092828,0.09261083743842365,0.6364790520524757,0.16169435037359567,"['recent_sessions', 'history_Roll Advert', 'history_Downgrade', 'days_since_last_action', 'history_Thumbs Up', 'history_Thumbs Down', 'is_paid', 'recent_Roll Advert', 'history_Upgrade', 'recent_Upgrade']"
10,logreg,forward,11,11,0.13363992125507562,0.7228572729654815,0.09106519036058973,0.6508675412611088,0.1597756077290671,"['recent_sessions', 'history_Roll Advert', 'history_Downgrade', 'days_since_last_action', 'history_Thumbs Up', 'history_Thumbs Down', 'is_paid', 'recent_Roll Advert', 'history_Upgrade', 'recent_Upgrade', 'trend_status_rate']"
